num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_day,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
2,0,1,262,19,6,1,0,0,5.52,0
1,0,1,112,20,6,0,0,0,5.52,0
2,0,1,243,22,3,1,1,0,5.52,0
1,0,1,96,31,6,0,0,1,5.52,0
2,0,1,68,22,3,1,0,1,5.52,0
1,0,1,3,48,4,1,0,1,5.52,0
3,0,1,201,33,4,1,0,1,5.52,0
2,0,1,238,19,1,1,0,1,5.52,0
1,0,1,80,22,1,0,0,1,5.52,0
1,1,1,378,30,7,0,0,0,5.52,0
2,0,1,185,25,2,1,1,1,5.52,0
1,0,1,8,43,6,1,1,1,5.52,0
4,0,1,265,24,1,1,0,1,5.52,0
1,0,1,185,17,5,0,0,0,5.52,0
1,0,1,245,34,2,1,1,1,5.52,0
1,0,1,192,18,4,1,0,0,5.52,0
1,0,1,259,37,7,0,0,0,5.52,0
1,0,1,19,29,6,0,0,1,5.52,0
1,0,1,67,155,7,1,0,0,5.52,0
1,0,1,351,17,7,0,0,0,5.07,0
2,0,3,228,29,3,1,0,0,7.57,0
1,0,1,21,88,3,1,0,1,6.62,0
2,0,1,23,19,1,1,0,1,6.62,0
2,0,1,25,27,5,1,0,1,6.62,0
1,0,1,16,21,4,1,0,1,6.62,0
1,0,1,66,20,4,1,0,0,6.62,0
1,0,1,51,28,5,0,0,0,6.62,0
2,0,1,37,24,1,1,0,0,6.62,0
1,0,1,101,19,2,1,0,1,6.62,0
1,0,1,19,47,2,1,0,1,6.62,0
1,0,1,16,35,3,1,1,0,6.62,0
2,0,1,7,82,4,1,0,1,6.62,0
1,0,1,5,27,5,0,0,1,6.62,0
1,0,1,185,34,1,1,0,1,6.62,0
1,0,1,21,22,5,1,1,0,6.62,0
1,0,1,7,27,3,0,0,1,6.62,0
1,0,1,33,22,6,1,0,0,6.62,0
6,0,1,20,22,5,1,1,1,6.62,0
2,0,1,56,21,4,1,0,0,6.62,0
1,0,1,3,33,1,1,0,1,6.62,0
1,0,1,13,26,1,1,0,0,6.62,0
1,0,1,71,90,4,1,1,1,6.62,0
2,0,1,346,23,1,1,0,1,6.62,0
1,0,1,9,84,3,1,0,0,6.62,0
1,0,1,65,22,4,1,0,0,6.62,0
1,1,1,221,61,7,0,0,0,6.62,0
1,0,1,65,18,3,0,0,1,6.62,0
2,0,1,7,40,3,1,0,1,6.62,0
1,0,1,107,24,5,0,1,0,6.62,0
1,0,1,14,27,3,0,0,0,6.62,0
1,0,1,77,96,2,1,0,1,6.62,0
1,0,1,65,17,3,1,0,0,6.62,0
1,0,1,24,25,4,1,0,1,6.62,0
1,0,1,47,69,3,1,1,1,6.62,0
1,0,1,22,89,2,1,0,1,6.62,0
2,0,1,11,25,4,1,0,1,6.62,0
1,0,1,35,25,2,0,0,1,6.62,0
1,0,1,272,21,2,1,0,0,6.62,0
1,0,1,20,18,1,0,0,0,6.62,0
1,0,1,250,23,7,1,0,1,6.62,0
1,0,1,161,58,6,1,0,1,6.62,0
4,0,1,128,21,1,1,1,0,6.62,0
1,0,1,190,27,7,1,0,1,6.62,0
4,0,1,311,27,6,0,1,0,6.62,0
1,0,1,27,56,5,1,0,1,6.62,0
2,0,1,314,43,7,0,0,0,6.62,0
1,0,1,25,29,3,1,0,1,6.62,0
1,0,1,102,110,2,1,0,0,6.62,0
1,0,1,24,19,1,1,0,1,6.62,0
1,0,1,2,165,1,1,0,0,7.0,0
1,0,1,26,111,1,1,0,1,7.0,0
1,0,1,32,34,7,0,0,0,7.0,0
2,0,1,57,38,7,1,0,0,7.0,0
1,0,1,198,207,7,1,0,1,7.0,0
1,0,1,23,27,6,0,0,0,7.0,0
1,0,1,33,20,5,1,0,0,4.75,0
2,0,1,120,91,1,1,0,1,4.75,0
2,0,1,69,34,4,1,0,0,4.75,0
1,1,3,281,18,3,1,0,0,4.75,0
1,0,3,282,18,2,1,0,0,4.75,0
1,0,1,69,21,3,1,0,0,4.75,0
